"age","sex","category","population"
0,"Miehet","v1990",19
0,"Miehet","v2010",33
0,"Miehet","v2024",15
1,"Miehet","v1990",20
1,"Miehet","v2010",36
1,"Miehet","v2024",23
2,"Miehet","v1990",17
2,"Miehet","v2010",39
2,"Miehet","v2024",23
3,"Miehet","v1990",18
3,"Miehet","v2010",33
3,"Miehet","v2024",21
4,"Miehet","v1990",15
4,"Miehet","v2010",35
4,"Miehet","v2024",30
5,"Miehet","v1990",15
5,"Miehet","v2010",42
5,"Miehet","v2024",21
6,"Miehet","v1990",22
6,"Miehet","v2010",35
6,"Miehet","v2024",23
7,"Miehet","v1990",19
7,"Miehet","v2010",41
7,"Miehet","v2024",35
8,"Miehet","v1990",15
8,"Miehet","v2010",45
8,"Miehet","v2024",35
9,"Miehet","v1990",15
9,"Miehet","v2010",26
9,"Miehet","v2024",27
10,"Miehet","v1990",24
10,"Miehet","v2010",34
10,"Miehet","v2024",24
11,"Miehet","v1990",18
11,"Miehet","v2010",44
11,"Miehet","v2024",40
12,"Miehet","v1990",25
12,"Miehet","v2010",30
12,"Miehet","v2024",38
13,"Miehet","v1990",19
13,"Miehet","v2010",37
13,"Miehet","v2024",29
14,"Miehet","v1990",35
14,"Miehet","v2010",38
14,"Miehet","v2024",41
15,"Miehet","v1990",19
15,"Miehet","v2010",28
15,"Miehet","v2024",33
16,"Miehet","v1990",18
16,"Miehet","v2010",28
16,"Miehet","v2024",39
17,"Miehet","v1990",20
17,"Miehet","v2010",36
17,"Miehet","v2024",30
18,"Miehet","v1990",22
18,"Miehet","v2010",28
18,"Miehet","v2024",34
19,"Miehet","v1990",20
19,"Miehet","v2010",17
19,"Miehet","v2024",37
20,"Miehet","v1990",24
20,"Miehet","v2010",23
20,"Miehet","v2024",16
21,"Miehet","v1990",26
21,"Miehet","v2010",14
21,"Miehet","v2024",19
22,"Miehet","v1990",22
22,"Miehet","v2010",11
22,"Miehet","v2024",13
23,"Miehet","v1990",13
23,"Miehet","v2010",12
23,"Miehet","v2024",5
24,"Miehet","v1990",22
24,"Miehet","v2010",8
24,"Miehet","v2024",16
25,"Miehet","v1990",16
25,"Miehet","v2010",16
25,"Miehet","v2024",18
26,"Miehet","v1990",21
26,"Miehet","v2010",18
26,"Miehet","v2024",4
27,"Miehet","v1990",21
27,"Miehet","v2010",13
27,"Miehet","v2024",12
28,"Miehet","v1990",23
28,"Miehet","v2010",11
28,"Miehet","v2024",17
29,"Miehet","v1990",26
29,"Miehet","v2010",10
29,"Miehet","v2024",21
30,"Miehet","v1990",18
30,"Miehet","v2010",24
30,"Miehet","v2024",22
31,"Miehet","v1990",18
31,"Miehet","v2010",29
31,"Miehet","v2024",24
32,"Miehet","v1990",25
32,"Miehet","v2010",29
32,"Miehet","v2024",29
33,"Miehet","v1990",25
33,"Miehet","v2010",32
33,"Miehet","v2024",19
34,"Miehet","v1990",19
34,"Miehet","v2010",32
34,"Miehet","v2024",17
35,"Miehet","v1990",31
35,"Miehet","v2010",22
35,"Miehet","v2024",18
36,"Miehet","v1990",25
36,"Miehet","v2010",37
36,"Miehet","v2024",27
37,"Miehet","v1990",18
37,"Miehet","v2010",36
37,"Miehet","v2024",27
38,"Miehet","v1990",27
38,"Miehet","v2010",35
38,"Miehet","v2024",32
39,"Miehet","v1990",30
39,"Miehet","v2010",33
39,"Miehet","v2024",31
40,"Miehet","v1990",27
40,"Miehet","v2010",42
40,"Miehet","v2024",37
41,"Miehet","v1990",34
41,"Miehet","v2010",40
41,"Miehet","v2024",35
42,"Miehet","v1990",37
42,"Miehet","v2010",44
42,"Miehet","v2024",29
43,"Miehet","v1990",28
43,"Miehet","v2010",38
43,"Miehet","v2024",23
44,"Miehet","v1990",23
44,"Miehet","v2010",34
44,"Miehet","v2024",26
45,"Miehet","v1990",15
45,"Miehet","v2010",31
45,"Miehet","v2024",36
46,"Miehet","v1990",15
46,"Miehet","v2010",31
46,"Miehet","v2024",39
47,"Miehet","v1990",25
47,"Miehet","v2010",47
47,"Miehet","v2024",37
48,"Miehet","v1990",11
48,"Miehet","v2010",33
48,"Miehet","v2024",36
49,"Miehet","v1990",14
49,"Miehet","v2010",35
49,"Miehet","v2024",35
50,"Miehet","v1990",20
50,"Miehet","v2010",32
50,"Miehet","v2024",29
51,"Miehet","v1990",12
51,"Miehet","v2010",24
51,"Miehet","v2024",38
52,"Miehet","v1990",19
52,"Miehet","v2010",28
52,"Miehet","v2024",39
53,"Miehet","v1990",19
53,"Miehet","v2010",32
53,"Miehet","v2024",43
54,"Miehet","v1990",20
54,"Miehet","v2010",23
54,"Miehet","v2024",35
55,"Miehet","v1990",23
55,"Miehet","v2010",30
55,"Miehet","v2024",33
56,"Miehet","v1990",17
56,"Miehet","v2010",28
56,"Miehet","v2024",43
57,"Miehet","v1990",25
57,"Miehet","v2010",19
57,"Miehet","v2024",37
58,"Miehet","v1990",24
58,"Miehet","v2010",26
58,"Miehet","v2024",44
59,"Miehet","v1990",20
59,"Miehet","v2010",25
59,"Miehet","v2024",30
60,"Miehet","v1990",19
60,"Miehet","v2010",33
60,"Miehet","v2024",34
61,"Miehet","v1990",25
61,"Miehet","v2010",31
61,"Miehet","v2024",38
62,"Miehet","v1990",20
62,"Miehet","v2010",36
62,"Miehet","v2024",33
63,"Miehet","v1990",18
63,"Miehet","v2010",29
63,"Miehet","v2024",32
64,"Miehet","v1990",16
64,"Miehet","v2010",24
64,"Miehet","v2024",40
65,"Miehet","v1990",20
65,"Miehet","v2010",18
65,"Miehet","v2024",30
66,"Miehet","v1990",15
66,"Miehet","v2010",11
66,"Miehet","v2024",32
67,"Miehet","v1990",13
67,"Miehet","v2010",22
67,"Miehet","v2024",30
68,"Miehet","v1990",14
68,"Miehet","v2010",13
68,"Miehet","v2024",29
69,"Miehet","v1990",11
69,"Miehet","v2010",15
69,"Miehet","v2024",25
70,"Miehet","v1990",14
70,"Miehet","v2010",20
70,"Miehet","v2024",22
71,"Miehet","v1990",8
71,"Miehet","v2010",16
71,"Miehet","v2024",18
72,"Miehet","v1990",8
72,"Miehet","v2010",13
72,"Miehet","v2024",27
73,"Miehet","v1990",9
73,"Miehet","v2010",18
73,"Miehet","v2024",25
74,"Miehet","v1990",8
74,"Miehet","v2010",15
74,"Miehet","v2024",22
75,"Miehet","v1990",10
75,"Miehet","v2010",22
75,"Miehet","v2024",32
76,"Miehet","v1990",10
76,"Miehet","v2010",7
76,"Miehet","v2024",25
77,"Miehet","v1990",6
77,"Miehet","v2010",20
77,"Miehet","v2024",19
78,"Miehet","v1990",7
78,"Miehet","v2010",17
78,"Miehet","v2024",19
79,"Miehet","v1990",11
79,"Miehet","v2010",13
79,"Miehet","v2024",16
80,"Miehet","v1990",4
80,"Miehet","v2010",7
80,"Miehet","v2024",7
81,"Miehet","v1990",14
81,"Miehet","v2010",12
81,"Miehet","v2024",16
82,"Miehet","v1990",2
82,"Miehet","v2010",12
82,"Miehet","v2024",5
83,"Miehet","v1990",7
83,"Miehet","v2010",8
83,"Miehet","v2024",6
84,"Miehet","v1990",3
84,"Miehet","v2010",8
84,"Miehet","v2024",8
85,"Miehet","v1990",2
85,"Miehet","v2010",11
85,"Miehet","v2024",7
86,"Miehet","v1990",2
86,"Miehet","v2010",4
86,"Miehet","v2024",8
87,"Miehet","v1990",3
87,"Miehet","v2010",3
87,"Miehet","v2024",3
88,"Miehet","v1990",0
88,"Miehet","v2010",5
88,"Miehet","v2024",4
89,"Miehet","v1990",1
89,"Miehet","v2010",3
89,"Miehet","v2024",5
90,"Miehet","v1990",3
90,"Miehet","v2010",1
90,"Miehet","v2024",1
91,"Miehet","v1990",0
91,"Miehet","v2010",0
91,"Miehet","v2024",3
92,"Miehet","v1990",1
92,"Miehet","v2010",0
92,"Miehet","v2024",1
93,"Miehet","v1990",0
93,"Miehet","v2010",2
93,"Miehet","v2024",5
94,"Miehet","v1990",0
94,"Miehet","v2010",2
94,"Miehet","v2024",0
95,"Miehet","v1990",0
95,"Miehet","v2010",0
95,"Miehet","v2024",1
96,"Miehet","v1990",0
96,"Miehet","v2010",0
96,"Miehet","v2024",1
97,"Miehet","v1990",0
97,"Miehet","v2010",1
97,"Miehet","v2024",0
98,"Miehet","v1990",0
98,"Miehet","v2010",0
98,"Miehet","v2024",0
99,"Miehet","v1990",0
99,"Miehet","v2010",0
99,"Miehet","v2024",0
100,"Miehet","v1990",0
100,"Miehet","v2010",0
100,"Miehet","v2024",0
0,"Naiset","v1990",29
0,"Naiset","v2010",21
0,"Naiset","v2024",15
1,"Naiset","v1990",13
1,"Naiset","v2010",36
1,"Naiset","v2024",19
2,"Naiset","v1990",20
2,"Naiset","v2010",32
2,"Naiset","v2024",22
3,"Naiset","v1990",20
3,"Naiset","v2010",22
3,"Naiset","v2024",29
4,"Naiset","v1990",11
4,"Naiset","v2010",36
4,"Naiset","v2024",20
5,"Naiset","v1990",22
5,"Naiset","v2010",34
5,"Naiset","v2024",21
6,"Naiset","v1990",18
6,"Naiset","v2010",37
6,"Naiset","v2024",27
7,"Naiset","v1990",18
7,"Naiset","v2010",37
7,"Naiset","v2024",26
8,"Naiset","v1990",15
8,"Naiset","v2010",43
8,"Naiset","v2024",28
9,"Naiset","v1990",18
9,"Naiset","v2010",36
9,"Naiset","v2024",31
10,"Naiset","v1990",22
10,"Naiset","v2010",31
10,"Naiset","v2024",25
11,"Naiset","v1990",10
11,"Naiset","v2010",42
11,"Naiset","v2024",36
12,"Naiset","v1990",17
12,"Naiset","v2010",30
12,"Naiset","v2024",38
13,"Naiset","v1990",24
13,"Naiset","v2010",31
13,"Naiset","v2024",47
14,"Naiset","v1990",22
14,"Naiset","v2010",32
14,"Naiset","v2024",32
15,"Naiset","v1990",24
15,"Naiset","v2010",25
15,"Naiset","v2024",36
16,"Naiset","v1990",13
16,"Naiset","v2010",25
16,"Naiset","v2024",33
17,"Naiset","v1990",17
17,"Naiset","v2010",31
17,"Naiset","v2024",27
18,"Naiset","v1990",17
18,"Naiset","v2010",19
18,"Naiset","v2024",32
19,"Naiset","v1990",16
19,"Naiset","v2010",24
19,"Naiset","v2024",20
20,"Naiset","v1990",19
20,"Naiset","v2010",13
20,"Naiset","v2024",9
21,"Naiset","v1990",21
21,"Naiset","v2010",7
21,"Naiset","v2024",11
22,"Naiset","v1990",19
22,"Naiset","v2010",5
22,"Naiset","v2024",11
23,"Naiset","v1990",16
23,"Naiset","v2010",15
23,"Naiset","v2024",10
24,"Naiset","v1990",20
24,"Naiset","v2010",10
24,"Naiset","v2024",6
25,"Naiset","v1990",15
25,"Naiset","v2010",18
25,"Naiset","v2024",16
26,"Naiset","v1990",16
26,"Naiset","v2010",8
26,"Naiset","v2024",9
27,"Naiset","v1990",21
27,"Naiset","v2010",17
27,"Naiset","v2024",18
28,"Naiset","v1990",15
28,"Naiset","v2010",19
28,"Naiset","v2024",12
29,"Naiset","v1990",18
29,"Naiset","v2010",17
29,"Naiset","v2024",19
30,"Naiset","v1990",14
30,"Naiset","v2010",24
30,"Naiset","v2024",21
31,"Naiset","v1990",23
31,"Naiset","v2010",25
31,"Naiset","v2024",19
32,"Naiset","v1990",18
32,"Naiset","v2010",29
32,"Naiset","v2024",28
33,"Naiset","v1990",14
33,"Naiset","v2010",41
33,"Naiset","v2024",31
34,"Naiset","v1990",23
34,"Naiset","v2010",43
34,"Naiset","v2024",21
35,"Naiset","v1990",11
35,"Naiset","v2010",33
35,"Naiset","v2024",32
36,"Naiset","v1990",14
36,"Naiset","v2010",27
36,"Naiset","v2024",16
37,"Naiset","v1990",22
37,"Naiset","v2010",27
37,"Naiset","v2024",31
38,"Naiset","v1990",30
38,"Naiset","v2010",40
38,"Naiset","v2024",36
39,"Naiset","v1990",16
39,"Naiset","v2010",32
39,"Naiset","v2024",24
40,"Naiset","v1990",15
40,"Naiset","v2010",37
40,"Naiset","v2024",27
41,"Naiset","v1990",21
